name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ddsd,-0.433209,0.330555,-1.09432,0.227901,-0.433209,0.00181622,-0.436842,-0.429577
ddsw,-0.421017,0.330555,-1.08213,0.240092,-0.421017,0.00215619,-0.42533,-0.416705
ddgd,-0.00243015,2.08055,-4.16354,4.15868,-0.00243015,1.46419,-2.93081,2.92595
ddgw,-0.830956,2.08055,-4.99207,3.33015,-0.830956,1.47907,-3.7891,2.12719
rcs1d,0.30103,2.07526,-3.84949,4.45154,0.30103,0.0150943,0.270841,0.331219
rcs1w,0.30103,2.07526,-3.84949,4.45154,0.30103,0.0374662,0.226098,0.375962
rcs2d,0.30103,2.07526,-3.84949,4.45154,0.30103,0.0136515,0.273727,0.328333
rcs2w,-1.69292,2.07526,-5.84343,2.4576,-0.941974,0.173404,-1.28878,-0.595167
rcs3d,-0.0980903,2.07526,-4.24861,4.05242,-0.0980903,0.0152056,-0.128502,-0.0676791
rcs3w,-2.20213,2.07526,-6.35265,1.94838,-2.20213,0.972214,-4.14656,-0.257703
rcs4d,-2.02575,2.07526,-6.17627,2.12476,-2.02575,0.163994,-2.35374,-1.69777
rcs4w,-2.66782,2.07526,-6.81834,1.48269,-2.66782,0.998269,-4.66436,-0.671286
rcs5d,-1.49568,2.07526,-5.64619,2.65484,-1.49568,0.10808,-1.71184,-1.27952
rcs5w,-0.0556188,2.07526,-4.20613,4.0949,-0.0556188,0.00817517,-0.0719691,-0.0392684
rcs6d,-1.56658,2.07526,-5.71709,2.58394,-0.816577,0.108247,-1.03307,-0.600083
rcs6w,0.30103,2.07526,-3.84949,4.45154,0.30103,0.0156392,0.269752,0.332308
rcs7d,-2.32094,2.07526,-6.47146,1.82957,-1.32094,2.07526,-5.47146,2.82957
rcs7w,0,2.07526,-4.15051,4.15051,0,2.07526,-4.15051,4.15051
rcs8d,-0.370068,2.07526,-4.52058,3.78045,-0.370068,2.07526,-4.52058,3.78045
rcs8w,-0.0362183,2.07526,-4.18673,4.1143,-0.0362183,2.07526,-4.18673,4.1143
rcr1d,0.21017,2.07526,-3.94034,4.36069,0.21017,0.00550058,0.199169,0.221171
rcr1w,-0.150814,2.07526,-4.30133,3.9997,-0.150814,0.0210375,-0.192889,-0.108739
rcr2d,-2.70465,2.07526,-6.85517,1.44586,-2.70465,1.24142,-5.18749,-0.221815
rcr2w,-2.3955,2.07526,-6.54602,1.75501,-2.3955,1.24043,-4.87636,0.0853606
rcr3d,-3.05024,2.07526,-7.20075,1.10028,-3.05024,1.66506,-6.38035,0.279875
rcr3w,-2.37566,2.07526,-6.52617,1.77486,-2.37566,0.754358,-3.88437,-0.866939
rcr4d,-3.47458,2.07526,-7.62509,0.675937,-3.47458,1.74917,-6.97292,0.0237666
rcr4w,-2.86468,2.07526,-7.0152,1.28583,-2.86468,0.9709,-4.80648,-0.922882
rcr5d,-3.14578,2.07526,-7.29629,1.00474,-3.14578,0.845534,-4.83685,-1.45471
rcr5w,-2.82424,2.07526,-6.97475,1.32628,-2.82424,0.958508,-4.74125,-0.90722
rcr6d,-2.52685,2.07526,-6.67736,1.62367,-2.52685,1.09201,-4.71087,-0.342829
rcr6w,-2.53626,2.07526,-6.68678,1.61425,-2.53626,1.62382,-5.7839,0.711378
rcr7d,-2.07637,2.07526,-6.22689,2.07414,-2.07637,1.78499,-5.64634,1.4936
rcr7w,-1.93528,2.07526,-6.0858,2.21523,-1.93528,1.88098,-5.69723,1.82667
rcr8d,-2.20537,2.07526,-6.35588,1.94515,-1.45537,2.07521,-5.60579,2.69506
rcr8w,-1.87884,2.07526,-6.02935,2.27168,-1.87884,2.07526,-6.02935,2.27167
rcgd,-1.60258,2.07526,-5.7531,2.54793,-1.60258,1.47437,-4.55132,1.34615
rcgw,-0.15419,2.07526,-4.3047,3.99633,-0.15419,1.45951,-3.07321,2.76483
tl,0.69897,2.17474,-3.65051,5.04846,0.69897,0.000918368,0.697133,0.700807
xw,-0.0211828,2.08055,-4.18229,4.13993,-0.0211828,0.000190201,-0.0215632,-0.0208024
yw,-3.59461,2,-7.59461,0.405395,-3.59461,1.97624,-7.54709,0.357879
x,0.0631257,2.09043,-4.11774,4.24399,0.0631257,2.09043,-4.11774,4.24399
y,-1.54562,2,-5.54562,2.45438,-1.54562,2,-5.54562,2.45438
tlr,-1.16622,2.25,-5.66622,3.33378,-1.16749,2.25,-5.66749,3.33251
tls,-0.653647,2.36928,-5.39221,4.08491,-0.653647,2.36928,-5.39221,4.08491
tcrit,-3.1261,1.32526,-5.77661,-0.475583,-3.12494,1.24233,-5.6096,-0.640281
