time,elapsed_seconds,message
12:42:23,0.0001234,PEST++ performance logger started
12:42:23,0.0011792,starting to process control file
12:42:23,0.0272706,finished processing control file
12:42:23,0.133759,loading parcov
12:42:23,0.0195637,beginning iteration 1
12:42:23,0.0003595,commencing to build jacobian parameter sets
12:42:23,0.0337324,jacobian parameter sets built, commencing model runs
12:43:30,67.1309,jacobian runs complete, processing runs
12:43:30,0.0475983,processing jacobian runs complete
12:43:30,6.21e-05,saving jacobian and sen files
12:43:30,0.163082,commencing calculation of upgrade vector
12:43:30,0.0984884,forming JtQJ matrix
12:43:31,0.0313594,commencing to scale JtQJ matrix- first SVD...
12:43:31,5.37e-05,starting REDSVD
12:43:31,0.0009003,retrieving REDSVD components
12:43:31,5.17e-05,triming REDSVD components to 32elements
12:43:31,4.6e-05,done REDSVD
12:43:31,0.0001638,S info: rows = 46: cols = 46: size = 2116: nonzeros = 42
12:43:31,1.11e-05,JS
12:43:31,0.0109542,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:43:31,0.0321655,S info: rows = 46: cols = 46: size = 2116: nonzeros = 42
12:43:31,5.06e-05,commencing SVD factorization of lambda-scaled JtQJ
12:43:31,1.47e-05,starting REDSVD
12:43:31,0.0011998,retrieving REDSVD components
12:43:31,6.16e-05,triming REDSVD components to 32elements
12:43:31,4.84e-05,done REDSVD
12:43:31,1.29e-05,SVD factorization complete
12:43:31,0.0020001,commencing linear algebra multiplication to compute ugrade
12:43:31,1.54e-05,S info: rows = 46: cols = 46: size = 2116: nonzeros = 42Vt info: rows = 32: cols = 46: size = 1472: nonzeros = 1344
12:43:31,1.53e-05,U info: rows = 46: cols = 32: size = 1472: nonzeros = 1344
12:43:31,1.3e-05,jac info: rows = 12076: cols = 46: size = 555496: nonzeros = 294506
12:43:31,0.0103582,linear algebra multiplication to compute ugrade complete
12:43:31,0.0006467,commencing check of parameter bounds and gradients
12:43:31,0.0312434,beginning upgrade vector calculations, lambda = 0.1
12:43:31,0.0002822,commencing calculation of upgrade vector
12:43:31,0.154289,forming JtQJ matrix
12:43:31,0.0288145,commencing to scale JtQJ matrix- first SVD...
12:43:31,5.4e-05,starting REDSVD
12:43:31,0.0007582,retrieving REDSVD components
12:43:31,4.92e-05,triming REDSVD components to 27elements
12:43:31,4.53e-05,done REDSVD
12:43:31,0.0001355,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37
12:43:31,1.27e-05,JS
12:43:31,0.0106082,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:43:31,0.0271895,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37
12:43:31,6.1e-05,commencing SVD factorization of lambda-scaled JtQJ
12:43:31,1.33e-05,starting REDSVD
12:43:31,0.0008278,retrieving REDSVD components
12:43:31,4.84e-05,triming REDSVD components to 27elements
12:43:31,4.22e-05,done REDSVD
12:43:31,1.39e-05,SVD factorization complete
12:43:31,0.001768,commencing linear algebra multiplication to compute ugrade
12:43:31,1.94e-05,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37Vt info: rows = 27: cols = 41: size = 1107: nonzeros = 999
12:43:31,1.58e-05,U info: rows = 41: cols = 27: size = 1107: nonzeros = 999
12:43:31,1.62e-05,jac info: rows = 12076: cols = 41: size = 495116: nonzeros = 256108
12:43:31,0.0096149,linear algebra multiplication to compute ugrade complete
