,0,1,2,3,4,5
2000-01-01,,,,,,
2000-01-02,,,,,,
2000-01-03,,,,,,
2000-01-04,,,,,,
2000-01-05,,,,,,
2000-01-06,,,,,,
2000-01-07,,,,,,
2000-01-08,,,,,,
2000-01-09,,,,,,
2000-01-10,,,,,,
2000-01-11,,,,,,
2000-01-12,,,,,,
2000-01-13,,,,,,
2000-01-14,,,,,,
2000-01-15,,,,,,
2000-01-16,,,,,,
2000-01-17,,,,,,
2000-01-18,,,,,,
2000-01-19,,,,,,
2000-01-20,,,,,,
2000-01-21,,,,,,
2000-01-22,,,,,,
2000-01-23,,,,,,
2000-01-24,,,,,,
2000-01-25,,,,,,
2000-01-26,,,,,,
2000-01-27,,,,,,
2000-01-28,,,,,,
2000-01-29,,,,,,
2000-01-30,,,,,,
2000-01-31,,,,,,
2000-02-01,,,,,,
2000-02-02,,,,,,
2000-02-03,,,,,,
2000-02-04,,,,,,
2000-02-05,,,,,,
2000-02-06,,,,,,
2000-02-07,,,,,,
2000-02-08,,,,,,
2000-02-09,,,,,,
2000-02-10,,,,,,
2000-02-11,,,,,,
2000-02-12,,,,,,
2000-02-13,,,,,,
2000-02-14,,,,,,
2000-02-15,,,,,,
2000-02-16,,,,,,
2000-02-17,,,,,,
2000-02-18,,,,,,
2000-02-19,,,,,,
2000-02-20,,,,,,
2000-02-21,,,,,,
2000-02-22,,,,,,
2000-02-23,,,,,,
2000-02-24,0,0,0,0,0,0
2000-02-25,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-26,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-27,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-28,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-03,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-04,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-05,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-06,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,,,,,,
2000-03-08,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-09,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-10,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-11,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-12,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-13,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-15,,,,,,
2000-03-16,,,,,,
2000-03-17,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-18,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-19,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-20,0.0,0.0,0.0,0.0,0.003956942070351296,0.0
2000-03-21,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-22,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-23,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-24,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-25,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-26,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-27,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-28,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-29,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-30,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-31,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-02,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-03,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-04,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-05,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-06,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-07,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-08,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-09,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-10,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-11,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-12,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-13,,,,,,
2000-04-14,0.0,0.0027805004275058606,0.007276273379279652,0.0549848181319216,0.06132443227811304,0.2550812270086521
2000-04-15,0.0,0.0,0.0,0.03036568782393577,0.007614760828762613,0.0
2000-04-16,0.0,0.0,0.0,0.0,0.0015510225866480166,0.010878129270278245
2000-04-17,0.0,0.0,0.0,0.0,0.027374272630357667,0.38611374545359917
2000-04-18,0.0,0.0,0.0,0.0,0.007146802555521735,0.2523136076485966
2000-04-19,0.0,0.0,0.0,0.0,0.0,0.047673595502441074
2000-04-20,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-21,0.0,0.0,0.0,0.0,0.0,0.08397019220534371
2000-04-22,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-23,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-24,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-25,,,,,,
2000-04-26,,,,,,
2000-04-27,,,,,,
2000-04-28,,,,,,
2000-04-29,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-30,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-02,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-03,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-04,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-05,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-06,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-07,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-08,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-09,0.20875759051874296,0.011843562799283126,0.07174671106440214,0.12294433881344541,0.03815933455228408,0.0
2000-05-10,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-11,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-12,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-13,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-14,0.0,0.013894330923200934,0.019569716005279517,0.0,0.0,0.0
2000-05-15,0.0,0.0007487801063225634,0.4320838074949363,0.49671046482431297,0.5289820811304455,0.51604948296112
2000-05-16,0.0,0.0,0.22887715911728032,0.6928349611373553,0.7415075322412431,0.6923089414970541
2000-05-17,0.0,0.0,0.011094111666810597,0.401666193339923,0.6831305991137857,0.6240590139242461
2000-05-18,0.0,0.0,0.008643017689139424,0.3497963957222605,0.7514209456157055,0.6447499950222635
2000-05-19,0.0,0.0,0.0,0.0,0.03586407512279568,0.01857726333356515
2000-05-20,0.0,0.0,0.0002167179339812593,0.16844061656373327,0.6397044044169433,0.3308489398434598
2000-05-21,0.0,0.0,0.0,0.07899065630382034,0.49639464191458554,0.30172811740033234
2000-05-22,0.0,0.0,0.0,0.07132630148526029,0.4283509980323533,0.10873520394275717
2000-05-23,0.0,0.0,0.0,0.07405395722315655,0.3926150559106311,0.15879801961688986
2000-05-24,0.22680300142965787,0.07987301729045491,0.0,0.0,0.0,0.0
2000-05-25,0.0,0.0,0.0,0.07982089801917992,0.3636159041238371,0.4631732986151445
2000-05-26,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-27,0.0,0.0,0.0,0.020600011174629288,0.42045869932885,0.2957873473633755
2000-05-28,0.0,0.0,0.0,0.006841294462302103,0.20474300651173846,0.03779135225262688
2000-05-29,0.0,0.0,0.0,0.022797963285206807,0.20544224118492319,0.1491640573316195
2000-05-30,0.0,0.0,0.0,0.010369423009434277,0.09682402473760317,0.048336619348482636
2000-05-31,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-01,0.0,0.0,0.011495549020293924,0.1690842672151012,0.09558989098005471,0.12683163878305243
2000-06-02,0.0,0.0,0.0,0.0,0.0023603125053925224,0.0
2000-06-03,0.0,0.0,0.0,0.014952453885398847,0.05590263534825866,0.08435019641679414
2000-06-04,0.0,0.0,0.0,0.0011055034604641582,0.0072784305607867675,0.0
2000-06-05,0.0,0.0,0.0,0.0,0.01629713506125765,0.04899226229299849
2000-06-06,0.0,0.0,0.0,0.0,0.007224398358644674,0.0
2000-06-07,0.0,0.0,0.0,0.0012008590606665214,0.006951726524625612,0.0
2000-06-08,0.0,0.0,0.0,0.0,0.013440218343660213,0.0
2000-06-09,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-10,0.0,0.0,0.0,0.0,0.009363301415422052,0.06570900884261395
2000-06-11,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-12,,,,,,
2000-06-13,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-14,0.08854632259062031,0.0930534491383152,0.09538303426534259,0.1403882692222335,0.09650926060027791,0.19292461285615098
2000-06-15,0.0,0.1913628796999238,0.7494275503185492,0.7351427037921358,0.7198329478454816,0.6708262701168113
2000-06-16,0.0,0.00038451796175386895,0.4147495169988158,0.6335915678474098,0.595810858847309,0.5873137693071813
2000-06-17,0.0,0.0,0.3362947002945577,0.7979034578235259,0.7931549185489947,0.7420103512570595
2000-06-18,0.0,0.0,0.21082487313593284,0.5896594176289457,0.5738757913705574,0.529731702213799
2000-06-19,0.42677383975642624,0.3377503759636361,0.4704425114778527,0.5150348302193959,0.5444848104130848,0.5392688193731056
2000-06-20,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-21,0.0,0.0,0.060107831229085355,0.7273154815642888,0.8130398602659009,0.7274054481505435
2000-06-22,0.0,0.0,0.029979380918553882,0.553991039420615,0.6784109344687382,0.58378482969406
2000-06-23,0.0,0.0,0.0,0.01763252284291515,0.18712528527683722,0.19192329810400294
2000-06-24,0.20741655561838737,0.19343674402400038,0.2454223476154307,0.28865818017829076,0.20597229562466615,0.17178124331360606
2000-06-25,0.0073659499709590685,0.01124941697592098,0.01867257217612593,0.13622797950186083,0.3582646182546696,0.35882729520945006
2000-06-26,0.0,0.6712015574214772,0.8810425415176057,0.7609841426085484,0.7602093087992823,0.7395017016781613
2000-06-27,,,,,,
2000-06-28,0.0,0.03645144697210059,0.37259143338706,0.4447555912047185,0.47587443479714914,0.4784818704701339
2000-06-29,0.4512129160926133,0.22043835643855986,0.03187002716653691,0.0001671966039200543,0.0,0.0
2000-06-30,0.0,0.12206804358004415,0.029081057222007507,0.15803495960991498,0.21089949941294275,0.054305792532670386
2000-07-01,0.0,0.071300052823104,0.2385827366503806,0.10909503039384558,0.12379447139542682,0.01691001873425043
2000-07-02,0.0,0.081878468422472,0.5385400247642452,0.744058076917991,0.707168132915573,0.6837279702562853
2000-07-03,0.0,0.0774940058033655,0.6386270241837017,0.850639560960183,0.8016718741747939,0.7961381501719975
2000-07-04,0.0,0.0011106895585360353,0.3652347593302956,0.8193027790377961,0.7981924774814629,0.7402177902965533
2000-07-05,0.0,0.0,0.39078438947252575,0.8882452699272613,0.8622826972351356,0.8163721498217003
2000-07-06,0.0,0.0,0.3918057595205249,0.8423456159783489,0.8092938109693136,0.7637497634587462
2000-07-07,0.5855582359571488,0.5713412209324876,0.5344494293579577,0.1788291461449736,0.4345037432581264,0.5621386318221628
2000-07-08,0.0,0.0,0.09670161585203915,0.44186023046380424,0.5207915971585259,0.58396089382368
2000-07-09,0.0,0.0,0.012777286250622638,0.19572108459539644,0.4087900348122753,0.25298558530523246
2000-07-10,0.0,0.053635204383228725,0.36675623558170245,0.47045598972679864,0.5237266215817912,0.540311918137089
2000-07-11,0.0,0.00021351956332287453,0.41872206293420433,0.6749752373613681,0.6984461484549154,0.6608658942532418
2000-07-12,0.0,0.0,0.23826322993524715,0.7349098423297816,0.7535226557384074,0.7341122085579511
2000-07-13,0.0,0.0,0.1165103242974683,0.6898029585586958,0.6826935574131422,0.660045054602743
2000-07-14,0.0,0.0,0.1106546409634435,0.7379931517373259,0.8205299031158708,0.7973264185669383
2000-07-15,0.0,0.0,0.1630737755103337,0.7907835685846666,0.7680458926025099,0.7212494926815659
2000-07-16,0.0,0.0,0.11841275698485033,0.7575163820878822,0.8267766459460015,0.7784391842962656
2000-07-17,0.0,0.0,0.13848216142331327,0.7637792344713833,0.8157354829838915,0.7686857227962901
2000-07-18,0.0,0.0,0.021736713633709773,0.4268297759577314,0.5999469120225014,0.5585640609506961
2000-07-19,0.0,0.0,0.10364423157481556,0.7560446636738171,0.8487897915214767,0.8023930817007706
2000-07-20,0.0,0.0,0.0,0.003356130527328909,0.08466977122159017,0.0
2000-07-21,0.0,0.004935391450192988,0.19356215053021025,0.4420658240831417,0.6178271031595169,0.6087644816172704
2000-07-22,0.0,0.004381894488344658,0.5735146475226647,0.6998072276859125,0.6770037457790105,0.6630163392097093
2000-07-23,0.0,0.0,0.28196315513649745,0.7705695848646588,0.7788766394348434,0.7523507985424878
2000-07-24,0.0,0.0,0.092161996460943,0.748096168631429,0.806557138456963,0.7838959313192411
2000-07-25,0.0,0.0,0.04682099307520079,0.6865371698358789,0.8253229331310568,0.7828182498319088
2000-07-26,0.0,0.0,0.05252120818191021,0.6955931642996209,0.8547270587682418,0.7959428325577277
2000-07-27,0.0,0.0,0.04810682702235757,0.6914316064782836,0.848833708372323,0.7927357339390965
2000-07-28,0.0,0.0,0.035490830295760147,0.6785176952516163,0.8792837108997132,0.836113438085132
2000-07-29,0.0,0.0,0.0,0.06613555285122805,0.2734263427032621,0.5108942202554813
2000-07-30,0.0,0.0,0.03962875208271008,0.6492328967365332,0.8821518090940099,0.8240638914963322
2000-07-31,0.0,0.0,0.03175676917717216,0.5860223533444209,0.846067988060992,0.8067547691790208
2000-08-01,0.0,0.0,0.037910071145852736,0.6134427535395551,0.8779163377550544,0.8313296800428013
2000-08-02,0.0,0.0,0.021414469276365006,0.5830945279028021,0.8568709653831635,0.8123880679709566
2000-08-03,0.0,0.0,0.011258739018706393,0.5281382405554219,0.8348154275356574,0.7785412419318927
2000-08-04,0.0,0.0,0.025503647296733614,0.5971664804470281,0.8898934865521962,0.8507068206141206
2000-08-05,0.0,0.0,0.03289524907057324,0.511077899314772,0.8494907378446145,0.7954868962526721
2000-08-06,,,,,,
2000-08-07,,,,,,
2000-08-08,,,,,,
2000-08-09,,,,,,
2000-08-10,,,,,,
2000-08-11,,,,,,
2000-08-12,,,,,,
2000-08-13,,,,,,
2000-08-14,,,,,,
2000-08-15,,,,,,
2000-08-16,,,,,,
2000-08-17,,,,,,
2000-08-18,,,,,,
2000-08-19,0.0,0.0,0.006705198100422772,0.3675961852600732,0.8337369179137523,0.7762841613406284
2000-08-20,0.020391901499679205,0.006178837092685786,0.002197241230731441,0.026154094977836294,0.3771410836112108,0.0
2000-08-21,0.26779857995713147,0.41350334496302155,0.40805629240178076,0.37884533489441696,0.4474429045888187,0.4435146129000036
2000-08-22,0.0,0.0,0.005367551260689379,0.3498584592308888,0.8550274419675926,0.7488636918863616
2000-08-23,0.0,0.0,0.00024178282958324822,0.3582034356847845,0.7470503809200473,0.789277594198529
2000-08-24,0.0,0.0,0.0007946973221035472,0.3458198104420039,0.8522211910701513,0.8096239451218202
2000-08-25,0.0,0.0,0.003240619552366541,0.2881021215542016,0.7069589984595123,0.7123122547898305
2000-08-26,0.0,0.0,0.00453821808233852,0.3298789229802797,0.7818786640630453,0.7362460299116992
2000-08-27,0.0,0.0,0.00045988869402968955,0.33873834082868703,0.8271699822157851,0.7619122932737515
2000-08-28,0.0,0.0,0.006267751576414402,0.3287458060162515,0.7311211662347186,0.7137307684216629
2000-08-29,0.0,0.0,0.004518820290728066,0.3015469546647579,0.8357777980541653,0.7922021873921393
2000-08-30,0.0,0.0,0.0,0.15693701929341808,0.5000754697310087,0.6098398951599983
2000-08-31,0.0,0.0,0.0029187551436848434,0.3088212647599134,0.8371402627340297,0.76746372007028
2000-09-01,0.0,0.0,0.00337867434151076,0.3851714433694444,0.8119680544097864,0.7766245708729281
2000-09-02,0.0,0.0,0.006131159754804609,0.2515717434052997,0.8200582617335619,0.755709622496762
2000-09-03,0.0,0.0,0.002300829750086948,0.2966063133790615,0.8161199669787575,0.7714825598052567
2000-09-04,0.0,0.0,0.0062378682995614144,0.24048625987232608,0.6983789839420349,0.6511143191824812
2000-09-05,0.0,0.0,0.0027332193156599212,0.27677223574850046,0.8262638971907702,0.751626460738293
2000-09-06,0.0,0.0,0.004624539972713309,0.25154196599481504,0.790552316608197,0.7399212474568428
2000-09-07,0.0,0.0,0.0,0.17655839070925505,0.6705908838645315,0.6905507857159678
2000-09-08,,,,,,
2000-09-09,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-10,0.4884843743305985,0.4647473927634863,0.43982934639600574,0.3718393806134607,0.4421917560185639,0.4488907818777699
2000-09-11,0.0,0.0,0.0,0.05015980231489071,0.4038548060016786,0.5889660255287379
